NStage,RR,TopPres,StoF,DIST_C4H8_T1,RebDuty_T1,Puri_pred,Duty_pred
40,4,3.5,6,0.990140971,36269.6093,0.9943514,37807.133
40,4,3.5,7,0.992706665,43233.6303,0.99692357,45365.594
40,4,3.5,8,0.994283431,50205.1616,0.9981553,53470.15
40,4,4,1,0.805314797,8754.24364,0.81605816,8057.522
40,4,4,2,0.906627736,11976.0907,0.8908771,13557.815
40,4,4,3,0.954934378,16809.4292,0.9450814,19203.15
40,4,4,4,0.975512307,24362.9439,0.9745555,25350.357
40,4,4,5,0.98475739,31389.675,0.98817766,31986.887
40,4,4,6,0.989427857,38553.4538,0.99413717,39149.36
40,4,4,7,0.992068,45753.8497,0.9967969,46837.62
40,4,4,8,0.993716441,52951.1561,0.99807376,55269.113
40,4,4.5,1,0.803045329,8908.56535,0.81421834,9076.558
40,4,4.5,2,0.905098308,12448.0583,0.8887769,14598.857
40,4,4.5,3,0.953431993,18991.6199,0.9435595,20316.896
40,4,4.5,4,0.974359483,25884.8764,0.9736978,26543.316
40,4,4.5,5,0.983742179,33188.7265,0.9877285,33267.617
40,4,4.5,6,0.988567954,40585.3856,0.9938925,40513.656
40,4,4.5,7,0.991324165,47995.0578,0.99665153,48359.168
40,4,4.5,8,0.993055346,55397.4775,0.9979801,57134.508
40,4,5,1,0.800653317,9056.9925,0.8121999,9990.42
40,4,5,2,0.903243711,12929.5945,0.8864857,15572.81
40,4,5,3,0.951894819,19987.5904,0.9418788,21392.959
40,4,5,4,0.972989645,27258.2688,0.9727403,27735.516
40,4,5,5,0.982603507,34811.4647,0.98722297,34554.61
40,4,5,6,0.987601221,42415.0781,0.99361515,41904.977
40,4,5,7,0.99048647,50018.1462,0.99648607,49948.586
40,4,5,8,0.992307141,57609.4828,0.9978733,59076.688
40,4,5.5,1,0.798170953,9200.97995,0.8100195,10758.847
40,4,5.5,2,0.901142282,13443.1797,0.884017,16436.002
40,4,5.5,3,0.950082959,20969.9233,0.9400419,22395.418
40,4,5.5,4,0.971417277,28526.0742,0.9716805,28904.697
40,4,5.5,5,0.981329667,36289.33,0.9866582,35840.766
40,4,5.5,6,0.986518711,44080.5597,0.9933028,43323.29
40,4,5.5,7,0.989552278,51863.1548,0.9962988,51608.406
40,4,5.5,8,0.991475656,59631.6914,0.9977521,61099
40,4,6,1,0.795618203,9341.87704,0.80769587,11394.584
40,4,6,2,0.898814223,14063.4287,0.88138646,17180.832
40,4,6,3,0.948073435,21883.85,0.93805313,23317.154
40,4,6,4,0.96974081,29692.2275,0.9705164,29992.443
40,4,6,5,0.979945764,37646.5264,0.9860307,37072.293
40,4,6,6,0.985341023,45610.711,0.99295294,44736.875
40,4,6,7,0.988520712,53562.3442,0.99608755,53320.207
40,4,6,8,0.990547959,61497.9291,0.99761486,63201.543
40,5,3.5,1,0.824860474,9988.3986,0.83680093,8583.65
40,5,3.5,2,0.921823717,12908.0001,0.90790623,14010.541
40,5,3.5,3,0.962702041,17143.921,0.95532,19561.824
40,5,3.5,4,0.979284429,24060.9963,0.97961855,25584.084
40,5,3.5,5,0.986916755,30767.2249,0.99051017,32079.562
40,5,3.5,6,0.99082932,37656.1163,0.99523,39108.066
40,5,3.5,7,0.993096043,44618.276,0.9973483,46605.22
40,5,3.5,8,0.994510121,51594.7247,0.99838126,54712.926
40,5,4,1,0.821871913,10129.5406,0.8348203,9651.909
40,5,4,2,0.919310191,13362.8464,0.90593255,15121.487
40,5,4,3,0.960785939,18199.6073,0.95401824,20727.059
40,5,4,4,0.977933708,25736.0877,0.9789152,26818.875
40,5,4,5,0.985842657,32756.7988,0.99014425,33399.176
40,5,4,6,0.98996119,39915.4759,0.9950286,40493.844
40,5,4,7,0.992359139,47117.9364,0.9972273,48104.324
40,5,4,8,0.993873967,54313.4787,0.99830276,56541.914
40,5,4.5,1,0.818777907,10264.6668,0.8326424,10662.099
40,5,4.5,2,0.91661809,13813.698,0.9037558,16168.414
40,5,4.5,3,0.958557411,20348.9253,0.95256424,21853.404
40,5,4.5,4,0.976397875,27238.8696,0.97812253,28040.84
40,5,4.5,5,0.984628545,34534.9788,0.98972905,34713.242
40,5,4.5,6,0.988980212,41925.1502,0.994799,41896.83
40,5,4.5,7,0.991528445,49338.6376,0.9970891,49658.695
40,5,4.5,8,0.993155564,56741.1521,0.9982131,58429.05
40,5,5,1,0.815618972,10395.0244,0.83028394,11540.066
40,5,5,2,0.913773797,14277.1407,0.9013847,17110.816
40,5,5,3,0.956418654,21320.4351,0.950957,22907.021
40,5,5,4,0.974733149,28589.2957,0.97723687,29234.62
40,5,5,5,0.983325593,36140.1237,0.9892616,36015.633
40,5,5,6,0.98789488,43741.9742,0.99453926,43316.438
40,5,5,7,0.990617883,51343.1779,0.996932,51281.8
40,5,5,8,0.992353431,58934.1139,0.9981111,60390.668
40,5,5.5,1,0.812414876,10521.9632,0.82776415,12284.945
40,5,5.5,2,0.910805249,14774.1072,0.8988315,17932.469
40,5,5.5,3,0.954108775,22281.4529,0.9491974,23873.195
40,5,5.5,4,0.972914093,29837.4533,0.97625506,30365.871
40,5,5.5,5,0.981897436,37596.3796,0.988739,37273.668
40,5,5.5,6,0.986736053,45388.3873,0.99424666,44729.39
40,5,5.5,7,0.989615336,53170.1379,0.9967545,52961.35
40,5,5.5,8,0.9914719,60938.6107,0.9979955,62430.24
40,5,6,1,0.809187916,10646.3717,0.82510453,12889.1045
40,5,6,2,0.907702593,15384.823,0.896111,18640.936
40,5,6,3,0.951681188,23183.7576,0.94728756,24767.873
40,5,6,4,0.971028781,30988.2392,0.97517425,31420.943
40,5,6,5,0.98037749,38938.971,0.98815763,38475.156
40,5,6,6,0.985455863,46901.4104,0.9939188,46112.062
40,5,6,7,0.98852013,54853.3628,0.9965547,54649.727
40,5,6,8,0.990498292,62788.6362,0.9978649,64513.29
40,6,3.5,1,0.835674513,11380.6358,0.85494196,10180.073
40,6,3.5,2,0.928966193,14303.1174,0.92128456,15577.719
40,6,3.5,3,0.965849513,18536.8404,0.96273154,21087.152
40,6,3.5,4,0.980637069,25450.3241,0.983101,27049.896
40,6,3.5,5,0.987556609,32153.1158,0.9920603,33486.43
40,6,3.5,6,0.991164703,39041.3553,0.99593514,40445.742
40,6,3.5,7,0.993283222,46001.6838,0.99769354,47864.45
40,6,3.5,8,0.994617479,52975.851,0.9985682,55969.305
40,6,4,1,0.832178077,11501.2048,0.85268486,11218.919
40,6,4,2,0.925815586,14738.2425,0.9192917,16662.676
40,6,4,3,0.963527962,19574.1673,0.9615029,22242.547
40,6,4,4,0.979048808,27102.4325,0.9824522,28297.184
40,6,4,5,0.986334009,34122.1397,0.99172115,34834.74
40,6,4,6,0.990192575,41283.3175,0.99574566,41868.164
40,6,4,7,0.992479427,48479.1299,0.99757814,49403.754
40,6,4,8,0.993931049,55676.998,0.9984927,57830.844
40,6,4.5,1,0.828607653,11617.194,0.8502264,12192.906
40,6,4.5,2,0.922574635,15169.3538,0.9170968,17686.598
40,6,4.5,3,0.960958802,21699.7379,0.9601309,23344.744
40,6,4.5,4,0.977315588,28578.4415,0.9817213,29512.469
40,6,4.5,5,0.984998489,35878.6927,0.9913368,36157.55
40,6,4.5,6,0.989122306,43274.6996,0.99553,43298.836
40,6,4.5,7,0.991580566,50682.3473,0.99744666,51001.168
40,6,4.5,8,0.993160413,58082.2893,0.998407,59752.594
40,6,5,1,0.824997,11729.5113,0.84758425,13044.841
40,6,5,2,0.91924756,15614.59,0.9147069,18594.387
40,6,5,3,0.958533352,22653.1212,0.95861304,24372.338
40,6,5,4,0.975464523,29921.8102,0.9809044,30692.1
40,6,5,5,0.983580065,37465.8851,0.9909042,37451.375
40,6,5,6,0.987961414,45066.914,0.9952863,44722.29
40,6,5,7,0.990609478,52667.6328,0.99729764,52637.47
40,6,5,8,0.992311824,60258.6848,0.99830973,61727.062
40,6,5.5,1,0.821364625,11839.3617,0.8447797,13776.763
40,6,5.5,2,0.915848881,16094.3331,0.9121321,19396.154
40,6,5.5,3,0.955955054,23594.3306,0.95694876,25329.51
40,6,5.5,4,0.973515592,31150.9994,0.97999775,31809.855
40,6,5.5,5,0.982048159,38905.4495,0.99042034,38690.523
40,6,5.5,6,0.986726914,46695.4354,0.995012,46116.555
40,6,5.5,7,0.989548357,54477.1466,0.99712956,54302.742
40,6,5.5,8,0.991385928,62245.6964,0.9981996,63752.04
40,6,6,1,0.817728061,11947.4307,0.84183615,14364.877
40,6,6,2,0.912351255,16692.4316,0.9093858,20092.99
40,6,6,3,0.953296557,24484.0864,0.9551384,26215.816
40,6,6,4,0.971477481,32280.9271,0.9789977,32845.66
40,6,6,5,0.98042442,40229.6671,0.98988134,39870.742
40,6,6,6,0.985386134,48191.9951,0.9947046,47479.547
40,6,6,7,0.988399218,56143.3183,0.9969403,55973.97
40,6,6,8,0.990369971,64077.5883,0.9980755,65811.945
40,7,3.5,1,0.84204066,12770.5429,0.8719139,11742.601
40,7,3.5,2,0.932237745,15692.7859,0.93295413,17116.11
40,7,3.5,3,0.967093656,19922.9268,0.9688765,22599.537
40,7,3.5,4,0.981121015,26838.61,0.9859148,28520.59
40,7,3.5,5,0.987765926,33540.9063,0.9933035,34917.164
40,7,3.5,6,0.99126407,40424.8124,0.99650383,41816.94
40,7,3.5,7,0.993322363,47384.9101,0.997976,49166.066
40,7,3.5,8,0.994641583,54353.7104,0.9987238,57242.637
40,7,4,1,0.838283382,12870.5766,0.86945057,12755.292
40,7,4,2,0.928805445,16105.3191,0.93098944,18172.547
40,7,4,3,0.964567549,20942.333,0.96772796,23716.494
40,7,4,4,0.979390673,28456.5947,0.9853174,29744.598
40,7,4,5,0.986447063,35484.3502,0.99298877,36253.934
40,7,4,6,0.990212519,42647.8014,0.9963253,43244.215
40,7,4,7,0.992455759,49840.785,0.99786615,50728.168
40,7,4,8,0.993904898,57035.9363,0.9986517,59131.562
40,7,4.5,1,0.834459309,12967.4006,0.8667823,13692.811
40,7,4.5,2,0.925299075,16519.0744,0.92882717,19166.137
40,7,4.5,3,0.961815451,23046.947,0.96644604,24799.947
40,7,4.5,4,0.977532181,29923.0222,0.9846447,30954.557
40,7,4.5,5,0.985018782,37221.3571,0.99263257,37569.742
40,7,4.5,6,0.989080934,44614.1183,0.9961227,44671.332
40,7,4.5,7,0.991518591,52023.794,0.99774134,52327.863
40,7,4.5,8,0.993090489,59425.0756,0.9985698,61061.812
40,7,5,1,0.830596794,13061.7188,0.8639272,14529.244
40,7,5,2,0.921736844,16944.9402,0.9264723,20049.578
40,7,5,3,0.959230837,23980.561,0.96502733,25812.822
