,Index,Alias,Sol_prop,Pro_var,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
10,2,C5H8O2-D1,"[1.47337951e+00 2.01163634e+00 1.00117320e+02 9.69155972e+02
 1.63250625e+02 7.65843576e-01]","[53 9.918698923380907 3.53076414619304 2.4277796102727787 16
 1.9952921088766453 3.5409885250474638]",[0.92558396 0.93202025 0.92083591 0.9272505  0.9357484 ],"[19272.44335938 20911.2578125  20374.2421875  21814.85351562
 24175.32617188]",[0.99060071 0.99298084 0.99260885 0.99001431 0.9938646 ],"[10196.07226562  9151.00390625  9710.73535156  9379.74121094
  6830.10888672]",0.928287804,21309.62461,0.99201386,9053.532324,0.00516738,1652.346545,0.001463521,1165.919214,0.986293573,0.013282678,19702.221,0.986293743,0.999912729,11088.7411,FALSE,FALSE,6410863.01,7038322.17,9616225.09,30790.9621
11,2,C4H7NO-E2,"[1.47646357e+00 2.62126273e+00 8.51057200e+01 9.36474793e+02
 1.50766005e+02 6.81518567e-01]","[53 9.918698923380907 3.53076414619304 2.4277796102727787 16
 1.9952921088766453 3.5409885250474638]",[0.92017674 0.93495071 0.92899144 0.92071533 0.93835336],"[20777.0859375  21996.70898438 20968.55859375 21548.63671875
 24637.72070312]",[0.99400926 0.99515581 0.99462539 0.99371052 0.99683726],"[10745.203125   10593.76855469 10562.41113281 10920.8359375
  8004.69335938]",0.928637516,21985.74219,0.994867647,10165.38242,0.007331097,1394.251333,0.001104253,1087.807498,0.953709359,0.04627376,19405.0562,0.953709404,0.999996523,11912.4014,FALSE,FALSE,6657615.75,7133255.92,9810381.77,31317.4576
12,2,C4H6O2-N1,"[1.55722735e+00 1.26968514e+00 8.60904400e+01 9.79078611e+02
 1.60859221e+02 7.51024251e-01]","[53 9.918698923380907 3.53076414619304 2.4277796102727787 16
 1.9952921088766453 3.5409885250474638]",[0.93997622 0.9416908  0.93382639 0.94997716 0.95141804],"[17538.23828125 19208.31445312 18794.20898438 19376.23242188
 20270.02539062]",[0.98707855 0.98977423 0.98902416 0.98392189 0.98506653],[8706.24316406 6479.375      7707.24902344 6410.42431641 4547.06445312],0.943377721,19037.40391,0.986973071,6770.071191,0.006539775,891.0681504,0.002236479,1398.761831,0.980699897,0.006161852,18233.6593,0.98056215,0.997265042,7967.7232,FALSE,FALSE,6194809.88,6094124.77,8585149.53,26201.3825
13,2,C6H12O3-E2,"[  1.37466924   2.46819859 132.15948    964.474817   229.388118
   1.05677651]","[53 9.918698923380907 3.53076414619304 2.4277796102727787 16
 1.9952921088766453 3.5409885250474638]",[0.92920387 0.9383797  0.9232434  0.93719912 0.93457812],"[24303.20117188 25947.75585938 24255.74804688 25848.109375
 26743.04492188]",[0.99318922 0.99709773 0.99676371 0.99508554 0.99615389],"[11793.05371094 10447.828125   10657.30859375 10227.28320312
  9097.86035156]",0.932520843,25419.57188,0.995658016,10444.6668,0.005612809,981.3228893,0.001411661,863.0778674,0.911418063,0.088567099,24621.4728,0.911418337,0.999996944,10932.8297,FALSE,FALSE,7205027.95,7657203.9,10554452.3,35554.3025
14,2,C4H9NO-D0,"[1.37054272e+00 2.80490191e+00 8.71216000e+01 9.37304485e+02
 1.54843778e+02 9.12649246e-01]","[53 9.918698923380907 3.53076414619304 2.4277796102727787 16
 1.9952921088766453 3.5409885250474638]",[0.88941979 0.8962509  0.89981395 0.8901462  0.90767676],"[21260.2109375  21878.19726562 21032.69335938 22211.15039062
 24483.11914062]",[0.99373019 0.99680519 0.99612349 0.99589962 0.99746323],"[ 9839.91894531 10151.49804688 10208.47558594 10232.9453125
  8446.04394531]",0.89666152,22173.07422,0.996004343,9775.776367,0.006728059,1229.511905,0.001262271,679.6618899,0.939498178,0.060493383,20527.6876,0.939498232,0.999998262,11853.9963,FALSE,FALSE,6846471.17,7270961.98,10024029.4,32381.6839
15,3,C5H8O2-D1,"[1.47337951e+00 2.01163634e+00 1.00117320e+02 9.69155972e+02
 1.63250625e+02 7.65843576e-01]","[57 9.771278571414381 3.6808613506574663 2.305200533433443 19
 1.9807939211034167 3.5471667686320654]",[0.92314649 0.93033385 0.91755158 0.92438608 0.93378478],"[18852.49804688 20254.62695312 19923.47851562 21271.98242188
 23597.88085938]",[0.99107462 0.99306703 0.99324483 0.9908421  0.99452728],[9949.58984375 8872.40820312 9362.04785156 9030.06542969 6507.96191406],0.925840557,20780.09336,0.992551172,8744.414648,0.005681217,1606.69903,0.001396666,1177.592253,0.988099826,0.011443833,19297.7592,0.988099932,0.999901019,10677.1081,FALSE,FALSE,6537099.2,6878013.13,9506677.49,29974.8673
16,3,C4H7NO-E2,"[1.47646357e+00 2.62126273e+00 8.51057200e+01 9.36474793e+02
 1.50766005e+02 6.81518567e-01]","[57 9.771278571414381 3.6808613506574663 2.305200533433443 19
 1.9807939211034167 3.5471667686320654]",[0.91730398 0.93333161 0.92568934 0.91697794 0.93593752],"[20332.58789062 21330.47070312 20469.2265625  21053.12695312
 24093.79296875]",[0.99412847 0.99519676 0.99507636 0.99410927 0.99692851],"[10550.37011719 10415.75097656 10348.81933594 10603.67285156
  7682.40283203]",0.925848079,21455.84102,0.995087874,9920.203223,0.007867735,1369.072131,0.00102743,1122.610439,0.955790881,0.044190566,19002.7122,0.955790913,0.999995976,11467.9406,FALSE,FALSE,6772907.27,6967803.33,9691289.6,30470.6528
17,3,C4H6O2-N1,"[1.55722735e+00 1.26968514e+00 8.60904400e+01 9.79078611e+02
 1.60859221e+02 7.51024251e-01]","[57 9.771278571414381 3.6808613506574663 2.305200533433443 19
 1.9807939211034167 3.5471667686320654]",[0.93800461 0.94007313 0.93090725 0.94812632 0.94992888],"[17207.64257812 18563.83984375 18448.46289062 18744.63671875
 19786.109375  ]",[0.98789853 0.98977029 0.98975593 0.98503381 0.98754764],[8362.42285156 6186.02685547 7334.99853516 6111.60302734 4271.15087891],0.941408038,18550.13828,0.988001239,6453.24043,0.006947976,821.9823012,0.001745304,1369.095241,0.981058882,0.005049208,17909.7349,0.981035264,0.996981173,7693.43815,FALSE,FALSE,6288267.14,5976067.32,8504672.62,25603.17305
18,3,C6H12O3-E2,"[  1.37466924   2.46819859 132.15948    964.474817   229.388118
   1.05677651]","[57 9.771278571414381 3.6808613506574663 2.305200533433443 19
 1.9807939211034167 3.5471667686320654]",[0.92897201 0.93794012 0.92226863 0.9366321  0.93413532],"[23790.8125     25315.5        23714.22460938 25435.95117188
 26085.80273438]",[0.99346364 0.99744058 0.9969818  0.99558616 0.99664813],"[11539.93457031 10063.37792969 10237.12402344  9851.81835938
  8820.26269531]",0.931989634,24868.4582,0.99602406,10102.50352,0.005747499,948.408962,0.001418505,870.9587933,0.912567911,0.087416219,23986.3806,0.912568123,0.999996558,10522.8692,FALSE,FALSE,7334433.74,7466969.65,10416254,34509.2498
19,3,C4H9NO-D0,"[1.37054272e+00 2.80490191e+00 8.71216000e+01 9.37304485e+02
 1.54843778e+02 9.12649246e-01]","[57 9.771278571414381 3.6808613506574663 2.305200533433443 19
 1.9807939211034167 3.5471667686320654]",[0.88679039 0.89474517 0.89784825 0.88732922 0.90580004],"[20791.73632812 21206.56054688 20501.73242188 21669.32421875
 23914.47460938]",[0.9940545  0.99701595 0.99649233 0.99624348 0.99768436],[9696.54589844 9904.61523438 9990.15136719 9808.11425781 8108.33398438],0.894502616,21616.76563,0.996298122,9501.552148,0.007068521,1214.452105,0.001225683,703.4555835,0.941493983,0.058496831,20077.2988,0.941494024,0.999998008,11407.9498,FALSE,FALSE,6960458.6,7098967.62,9897871.07,31485.2486
