,NStage_T1,RR_T1,TopPres_T1,StoF,NStage_T2,RR_T2,TopPres_T2,opt_N_total,opt_RebDuty_total,f_all_DIST_C4H8_T1,f_all_RebDuty_T1,f_all_DIST_C4H6_T2,f_all_RebDuty_T2,f_ave_DIST_C4H8_T1,f_ave_RebDuty_T1,f_ave_DIST_C4H6_T2,f_ave_RebDuty_T2,f_std_DIST_C4H8_T1,f_std_RebDuty_T1,f_std_DIST_C4H6_T2,f_std_RebDuty_T2,DIST_C4H8_T1,DIST_C4H6_T1,RebDuty_T1,DIST_C4H6_T2,DIST_SOL_T2,RebDuty_T2,hasIssue,hasERROR,CAPEX,OPEX,TAC,RebDuty_total
20,55,9.968031768498065,3.503424740432272,2.022141274319805,8,1.3212104343406608,3.502658319846043,63.0,28259.530142305157,[0.96822137 0.96644562 0.977112   0.95648319 0.9572531 ],"[23639.421875   19825.63085938 22489.33398438 17831.2890625
 22166.73242188]",[0.98367751 0.9896366  0.98849583 0.98226315 0.98288661],[8075.23046875 6242.09326172 5567.47802734 6606.11328125 8854.31933594],0.9651030540466309,21190.481640625,0.9853919386863709,7069.046875,0.007637604022404236,2087.313282777916,0.003054718991801692,1212.6394335585846,0.880641645,0.119349256,20861.5705,0.879334952,0.999658548,8373.92336,False,False,6203608.9,6649883.98,9144446.96,29235.493860000002
21,74,9.872280551929919,3.502465931059948,1.7450327718748393,12,1.011833933645113,3.5006240549332657,86.0,26248.56708639192,[0.97385591 0.96599025 0.97562951 0.95477194 0.95551711],"[22380.98242188 18573.20898438 21021.97265625 16865.99609375
 20539.16601562]",[0.98101419 0.98954356 0.98752892 0.98238313 0.9845354 ],[7509.17919922 5490.16357422 4827.96826172 5870.89697266 8163.30712891],0.9651529431343079,19876.265234375,0.9850010395050048,6372.30302734375,0.008795631921412908,1938.3171578120266,0.0031619570891254847,1258.1519015401784,0.888959614,0.111032225,19831.5358,0.888889783,0.999976981,7299.57856,False,False,6822591.83,6243599.29,8987064.47,27131.11436
22,63,9.818757410124407,3.5023986369945543,1.9029089933086807,9,1.175595417005951,3.508883644592176,72.0,27244.340288154155,[0.9703725  0.96612239 0.97656691 0.95566005 0.95652878],"[22942.40820312 19160.109375   21737.81835938 17247.515625
 21330.16210938]",[0.98260534 0.98969424 0.98810369 0.98194927 0.9827382 ],[7837.36669922 5885.72509766 5227.2109375  6259.92431641 8593.46582031],0.9650501251220703,20483.602734375,0.9850181460380554,6760.73857421875,0.008036176082117916,2027.774069975361,0.0032194475630250713,1255.8811883048386,0.886404647,0.113586551,20267.34,0.885179907,0.999660577,7933.19219,False,False,6425251.37,6441329.3,9025017.99,28200.532189999998
23,46,9.971295333175682,3.500677783169191,2.2522875542612635,9,1.3940354333722953,3.519718404512339,55.00000000000001,29568.024368914146,[0.96645498 0.9667787  0.97761643 0.95713347 0.95725286],"[24738.08984375 20931.14257812 23706.22460938 18938.72851562
 23399.34570312]",[0.98254126 0.9895975  0.98811662 0.98270309 0.98343718],[8188.69482422 6458.06005859 5791.82763672 6828.67431641 8859.33789062],0.965047287940979,22342.70625,0.985279130935669,7225.3189453125,0.0075676189318313455,2111.544848083395,0.0029740326593696246,1131.2843577457843,0.871474837,0.128515288,21694.2963,0.870084061,0.999671726,8888.92624,False,False,6018950.86,6859443.17,9279752.41,30583.222540000002
24,79,9.676043528737658,3.5028867605584497,1.7401840112168674,14,1.02019027740876,3.5070458805666784,93.0,26099.69304841445,[0.97552776 0.96575904 0.97517538 0.95408398 0.95447218],"[22171.69921875 18421.19335938 20847.79882812 16850.4453125
 20214.41796875]",[0.98074496 0.98942333 0.98754394 0.98338658 0.98605287],[7505.39111328 5577.52587891 4901.01904297 5933.54931641 8075.44189453],0.9650036692619324,19701.1109375,0.9854303359985351,6398.58544921875,0.00943337335589878,1867.9757597269047,0.003063613338134147,1197.4947916495,0.893297806,0.106693869,19596.1985,0.893287813,0.999994612,7264.87542,False,False,7021412.66,6170289.33,8993703.31,26861.07392
25,73,9.900534893893596,3.500605107817819,1.744415608570993,9,1.1191231039162917,3.5000858625040663,82.0,26487.808099943293,[0.97340924 0.96587759 0.97560602 0.95473039 0.95553809],"[22396.90039062 18578.40625    21032.078125   16839.63671875
 20567.515625  ]",[0.9831118  0.98996139 0.98838347 0.98199052 0.98340327],[7685.28125    5707.83886719 5040.91064453 6079.88183594 8510.59375   ],0.9650322675704956,19882.907421875,0.9853700876235962,6604.90126953125,0.008705865583363014,1953.082805390159,0.0031796309379206267,1290.3734162443466,0.888736967,0.111254906,19858.4488,0.887668883,0.999677544,7527.75167,False,False,6725240.22,6324279.27,9028597.92,27386.200469999996
26,79,9.676043528737658,3.503058356917703,1.7406072820954632,16,1.0125963516516985,3.5077360570951703,95.0,26084.78134728519,[0.97553658 0.9657715  0.97518504 0.95409769 0.95448536],"[22174.14453125 18423.828125   20850.61132812 16853.51757812
 20217.68945312]",[0.9800458  0.98880184 0.98717624 0.98382944 0.98630989],[7470.23632812 5608.27587891 4923.79150391 5935.90478516 7965.90820312],0.9650152325630188,19703.958203125,0.9852326393127442,6380.82333984375,0.009431508496579935,1867.8489476146192,0.003051214029854147,1150.3945891285143,0.893329425,0.106662247,19597.9814,0.893329575,0.999997608,7269.66278,False,False,7082357.69,6169659.9,9017580.77,26867.64418
27,54,9.897691987238145,3.501892585801752,2.073177527452024,8,1.339713648380259,3.503570586513245,62.0,28488.346123480205,[0.96830958 0.96675128 0.97740376 0.95684493 0.95747858],"[23799.69726562 20012.98828125 22695.09765625 18026.4375
 22356.56445312]",[0.98349899 0.98951894 0.98839217 0.98223603 0.98266035],[8109.60058594 6291.61035156 5618.89501953 6657.99755859 8872.83789062],0.9653576254844666,21378.15703125,0.9852612972259521,7110.18828125,0.007619856058562605,2081.018036048303,0.0030644022938805895,1200.3549865990663,0.880427076,0.119563583,20959.5905,0.879062386,0.999652104,8477.83501,False,False,6183040.31,6670796.98,9157089.02,29437.42551
28,77,9.775837789917984,3.5030477631371584,1.7413434492636457,12,1.0123844962261392,3.519567811496057,89.0,26194.19060280593,[0.97496653 0.96601772 0.97546935 0.95454431 0.95509052],"[22281.39257812 18504.33789062 20937.27929688 16879.45507812
 20379.00976562]",[0.9810589  0.98958594 0.98758066 0.98245782 0.98464257],[7521.08789062 5523.16552734 4859.83251953 5898.72119141 8186.67333984],0.9652176856994629,19796.294921875,0.9850651741027832,6397.89609375,0.009135174358487841,1897.0619356733616,0.00315569713110829,1252.29809182829,0.892056147,0.10793561,19719.6116,0.891984028,0.999976252,7275.379,False,False,6908804.62,6206441.16,8984573.77,26994.9906
29,46,9.971733995849858,3.5050256002585924,2.261023646460682,8,1.4318727456602296,3.5001134479663594,54.0,29689.643914671316,[0.96665156 0.96697724 0.97775227 0.95736575 0.95746571],"[24794.99804688 20988.16210938 23766.78710938 19004.3515625
 23466.453125  ]",[0.98309106 0.98919719 0.98815143 0.98232847 0.98237139],[8236.85546875 6511.07714844 5838.27001953 6885.58837891 8955.68261719],0.9652425050735474,22404.150390625,0.9850279092788696,7285.4947265625,0.007536719828156752,2110.2167342005387,0.0030078155208211163,1144.4406386189173,0.871876991,0.128113074,21736.2133,0.870374336,0.999647214,8926.32669,False,False,5992785.9,6880119.59,9289907.52,30662.539989999997
