,alias,GAMMA_C4H8_Aspen,GAMMA_C4H6_Aspen,S_Aspen,VP_Aspen,GAMMA_Solvent,Alpha_Aspen,MW_Aspen,RHO_Aspen,CPMX_Aspen,MUMX_Aspen,set
160,C9H18O2-D3,0.834737853,0.787296972,1.060257924,0.057862296,0.633972887,3.780808695,158.24072,866.776209,277.712578,1.37360452,train
161,C8H16O-E2,1.01892715,0.914913148,1.113687296,0.17067572,0.865519256,3.241067851,128.21444,835.369866,271.741393,0.949855933,train
163,C11H16,0.88009586,0.936280426,0.939991733,0.043929111,0.991589025,3.781458279,148.24804,855.561462,253.150952,1.22715489,train
164,C5H8O2-D5,1.36513028,1.07929725,1.264832538,5.78851975,1.09802266,1.679098709,100.11732,913.10422,177.097881,0.494184272,train
165,C13H20,0.779210196,0.845728879,0.921347509,0.004802598,0.822257383,4.779883632,176.3018,853.012985,320.349613,1.91028542,train
170,C6H14O2-D1,1.17568197,1.20600439,0.974857123,4.53804109,1.52614928,1.690019909,118.17596,821.252338,212.948627,0.426449037,train
171,C6H10-E7,0.961322061,1.00026294,0.961069357,12.128085,1.07651467,1.333438454,82.1454,718.036059,157.295048,0.392291739,test
172,C7H14O-E1,1.02358094,0.947629399,1.080148992,0.56186152,0.919547232,2.712571655,114.18756,814.593552,241.187022,0.743168545,train
177,C6H8-E1,1.06773017,1.07313406,0.994964385,12.9667928,1.08976284,1.329625873,80.12952,834.853139,145.304022,0.565044292,train
178,C4H8CL2,1.0580725,0.805326456,1.313842967,0.508051348,0.760513467,2.76809391,127.01292,1134.68045,161.827439,1.30200483,train
179,C5H10CL2,0.942231094,0.764254659,1.232875826,0.134103623,0.677192874,3.374221665,141.0398,1096.19174,189.370545,1.58758979,train
180,C10H14-2,0.942335517,0.989361565,0.952468289,0.264790761,1.08061813,2.987916418,134.22116,849.20907,220.113758,1.00005366,test
183,C5H13N,1.27920436,1.35940769,0.941001268,3.99921846,1.59111825,1.778808597,87.16496,750.899999,193.158619,0.673601991,train
184,C5H11CL,0.906329886,0.910372793,0.995559064,4.28282146,0.873252077,1.835486133,106.59504,877.422296,184.013305,0.54347911,train
185,C7H14O-D10,1.14235476,1.00543938,1.136174674,0.729521205,1.00720127,2.585338167,114.18756,807.757152,240.922755,0.789224024,train
191,C6H12O-D1,1.02472849,1.03140769,0.99352419,6.54814721,1.07693289,1.61425975,100.16068,773.644006,204.719515,0.448014927,train
192,C10H14-E10,0.870580323,0.857295831,1.015495808,0.147005466,0.836894302,3.292263078,134.22116,854.786985,232.203526,0.991850152,train
193,C6H12O2-D1,1.13154585,0.987517831,1.145848525,2.96129898,0.946444065,1.996104197,116.16008,866.14584,195.258224,0.65556092,train
194,C10H18-D1,0.773259571,0.802763066,0.963247568,0.165094577,0.771787078,3.248493532,138.25292,762.992645,319.394341,1.23184226,train
198,C9H10-E4,1.05488849,0.970329282,1.087144859,0.243640467,1.02125385,3.040172468,118.1784,916.693071,212.055354,0.784748344,train
199,C9H12-3,0.925383572,0.893725734,1.035422319,0.339113936,0.901138291,2.915203642,120.19428,877.749594,214.081959,0.879454753,train
200,C9H12-4,0.925383572,0.893725734,1.035422319,0.424290498,0.901138291,2.817885974,120.19428,860.433737,191.903426,0.799791094,train
