,Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
150,169,8,0.8,5.0,2,0.994248868,12771.2443,False
151,171,8,0.8,5.0,4,0.990110322,16452.7516,False
152,172,8,0.8,5.0,5,0.98413717,17263.087,False
153,173,8,0.8,5.0,6,0.973231802,17822.0672,False
154,174,8,0.8,5.0,7,0.956748752,18263.7143,False
155,175,8,0.8,5.0,8,0.935717363,18636.6074,False
156,176,8,0.8,5.5,1,0.994695421,8504.25837,False
157,177,8,0.8,5.5,2,0.993997878,13185.358999999999,False
158,178,8,0.8,5.5,3,0.992765887,16543.9154,False
159,179,8,0.8,5.5,4,0.989158249,17246.7218,False
160,180,8,0.8,5.5,5,0.982901094,18238.4768,False
161,181,8,0.8,5.5,6,0.972399663,18980.5541,False
162,182,8,0.8,5.5,7,0.9574553,19616.0747,False
163,183,8,0.8,5.5,8,0.938805896,20194.5933,False
164,184,8,0.8,6.0,1,0.994591278,8705.270129999999,False
165,186,8,0.8,6.0,3,0.9921878679999999,17116.8216,False
166,187,8,0.8,6.0,4,0.988086639,17994.468999999997,False
167,188,8,0.8,6.0,5,0.981463066,19158.2684,False
168,189,8,0.8,6.0,6,0.971090722,20072.9978,False
169,190,8,0.8,6.0,7,0.9571116470000001,20888.2544,False
170,191,8,0.8,6.0,8,0.940015956,21653.3058,False
171,192,8,1.0,3.5,1,0.994952445,7842.25607,False
172,193,8,1.0,3.5,2,0.994819648,11604.6406,False
173,194,8,1.0,3.5,3,0.994534776,14081.0627,False
174,195,8,1.0,3.5,4,0.993367467,13940.2267,False
175,196,8,1.0,3.5,5,0.990225378,14135.9272,False
176,197,8,1.0,3.5,6,0.98165429,14110.5086,False
177,199,8,1.0,3.5,8,0.935134465,13627.9094,False
178,200,8,1.0,4.0,1,0.9949196570000001,8098.8134,False
179,201,8,1.0,4.0,2,0.9947070790000001,12121.3964,False
180,202,8,1.0,4.0,3,0.994275803,14850.8317,False
181,203,8,1.0,4.0,4,0.9927382379999999,14949.2032,False
182,205,8,1.0,4.0,6,0.9816092209999999,15556.9341,False
183,206,8,1.0,4.0,7,0.967200395,15631.9621,False
184,207,8,1.0,4.0,8,0.945568471,15611.4856,False
185,208,8,1.0,4.5,1,0.994879092,8334.66458,False
186,209,8,1.0,4.5,2,0.9945770840000001,12592.3894,False
187,210,8,1.0,4.5,3,0.994002135,15549.0177,False
188,212,8,1.0,4.5,5,0.988492716,16491.4193,False
189,213,8,1.0,4.5,6,0.981253932,16885.6805,False
190,214,8,1.0,4.5,7,0.9689863559999999,17178.7705,False
191,215,8,1.0,4.5,8,0.951442123,17401.4437,False
192,216,8,1.0,5.0,1,0.994826084,8555.36033,False
193,217,8,1.0,5.0,2,0.9944132259999999,13031.5877,False
194,219,8,1.0,5.0,4,0.991468683,16716.0876,False
195,220,8,1.0,5.0,5,0.987503452,17537.4037,False
196,221,8,1.0,5.0,6,0.9803995090000001,18124.0965,False
197,222,8,1.0,5.0,7,0.9693041509999999,18615.4846,False
198,223,8,1.0,5.0,8,0.954258185,19050.8558,False
199,224,8,1.0,5.5,1,0.994759359,8763.21401,False
200,225,8,1.0,5.5,2,0.994210844,13443.6036,False
201,226,8,1.0,5.5,3,0.993266535,16805.9772,False
202,227,8,1.0,5.5,4,0.9906797279999999,17513.6335,False
203,228,8,1.0,5.5,5,0.98635582,18517.9483,False
204,229,8,1.0,5.5,6,0.979191358,19285.7833,False
205,230,8,1.0,5.5,7,0.968719105,19961.964,False
206,231,8,1.0,5.5,8,0.955245358,20590.1926,False
207,232,8,1.0,6.0,1,0.994673032,8961.432840000001,False
208,234,8,1.0,6.0,3,0.992794135,17379.2831,False
209,235,8,1.0,6.0,4,0.989782562,18264.5069,False
210,236,8,1.0,6.0,5,0.9850561109999999,19442.5873,False
211,237,8,1.0,6.0,6,0.9776930620000001,20381.732,False
212,238,8,1.0,6.0,7,0.967527822,21231.2595,False
213,239,8,1.0,6.0,8,0.9549761520000001,22039.517000000003,False
214,240,8,1.2,3.5,1,0.994961545,8121.14298,False
215,241,8,1.2,3.5,2,0.99485713,11877.1205,False
216,242,8,1.2,3.5,3,0.994638668,14349.4388,False
217,243,8,1.2,3.5,4,0.9938316559999999,14199.7696,False
218,244,8,1.2,3.5,5,0.9918745370000001,14388.7739,False
219,245,8,1.2,3.5,6,0.98692903,14376.868999999999,False
220,247,8,1.2,3.5,8,0.95633069,14078.1011,False
221,248,8,1.2,4.0,1,0.9949347040000001,8372.69474,False
222,249,8,1.2,4.0,2,0.9947644809999999,12389.8676,False
223,250,8,1.2,4.0,3,0.994429778,15117.2298,False
224,251,8,1.2,4.0,4,0.993327011,15212.5959,False
225,253,8,1.2,4.0,6,0.9861372270000001,15832.8573,False
226,254,8,1.2,4.0,7,0.976907167,15951.9565,False
227,255,8,1.2,4.0,8,0.9619963140000001,16006.3846,False
228,256,8,1.2,4.5,1,0.9949013790000001,8603.99079,False
229,257,8,1.2,4.5,2,0.9946578079999999,12857.7276,False
230,258,8,1.2,4.5,3,0.9942053829999999,15813.8958,False
231,260,8,1.2,4.5,5,0.9902816459999999,16758.9182,False
232,261,8,1.2,4.5,6,0.985415435,17167.0562,False
233,262,8,1.2,4.5,7,0.977175165,17492.9809,False
234,263,8,1.2,4.5,8,0.964822546,17767.6427,False
235,264,8,1.2,5.0,1,0.9948576990000001,8820.35814,False
236,265,8,1.2,5.0,2,0.994521874,13293.506000000001,False
237,267,8,1.2,5.0,4,0.992275076,16982.141,False
