Index,NStage_T1,RR_T1,TopPres_T1,StoF_T1,DIST_C4H8_T1,RebDuty_T1,hasERROR_T1
161,40,4,4.5,2,0.905098308,12448.0583,FALSE
162,40,4,4.5,3,0.953431993,18991.6199,FALSE
163,40,4,4.5,4,0.974359483,25884.8764,FALSE
164,40,4,4.5,5,0.983742179,33188.7265,FALSE
165,40,4,4.5,6,0.988567954,40585.3856,FALSE
166,40,4,4.5,7,0.991324165,47995.0578,FALSE
167,40,4,4.5,8,0.993055346,55397.4775,FALSE
168,40,4,5,1,0.800653317,9056.9925,FALSE
169,40,4,5,2,0.903243711,12929.5945,FALSE
170,40,4,5,3,0.951894819,19987.5904,FALSE
171,40,4,5,4,0.972989645,27258.2688,FALSE
172,40,4,5,5,0.982603507,34811.4647,FALSE
173,40,4,5,6,0.987601221,42415.0781,FALSE
174,40,4,5,7,0.99048647,50018.1462,FALSE
175,40,4,5,8,0.992307141,57609.4828,FALSE
176,40,4,5.5,1,0.798170953,9200.97995,FALSE
177,40,4,5.5,2,0.901142282,13443.1797,FALSE
178,40,4,5.5,3,0.950082959,20969.9233,FALSE
179,40,4,5.5,4,0.971417277,28526.0742,FALSE
180,40,4,5.5,5,0.981329667,36289.33,FALSE
181,40,4,5.5,6,0.986518711,44080.5597,FALSE
182,40,4,5.5,7,0.989552278,51863.1548,FALSE
183,40,4,5.5,8,0.991475656,59631.6914,FALSE
184,40,4,6,1,0.795618203,9341.87704,FALSE
185,40,4,6,2,0.898814223,14063.4287,FALSE
186,40,4,6,3,0.948073435,21883.85,FALSE
187,40,4,6,4,0.96974081,29692.2275,FALSE
188,40,4,6,5,0.979945764,37646.5264,FALSE
189,40,4,6,6,0.985341023,45610.711,FALSE
190,40,4,6,7,0.988520712,53562.3442,FALSE
191,40,4,6,8,0.990547959,61497.9291,FALSE
192,40,5,3.5,1,0.824860474,9988.3986,FALSE
193,40,5,3.5,2,0.921823717,12908.0001,FALSE
194,40,5,3.5,3,0.962702041,17143.921,FALSE
195,40,5,3.5,4,0.979284429,24060.9963,FALSE
196,40,5,3.5,5,0.986916755,30767.2249,FALSE
197,40,5,3.5,6,0.99082932,37656.1163,FALSE
198,40,5,3.5,7,0.993096043,44618.276,FALSE
199,40,5,3.5,8,0.994510121,51594.7247,FALSE
200,40,5,4,1,0.821871913,10129.5406,FALSE
201,40,5,4,2,0.919310191,13362.8464,FALSE
202,40,5,4,3,0.960785939,18199.6073,FALSE
203,40,5,4,4,0.977933708,25736.0877,FALSE
204,40,5,4,5,0.985842657,32756.7988,FALSE
205,40,5,4,6,0.98996119,39915.4759,FALSE
206,40,5,4,7,0.992359139,47117.9364,FALSE
207,40,5,4,8,0.993873967,54313.4787,FALSE
208,40,5,4.5,1,0.818777907,10264.6668,FALSE
209,40,5,4.5,2,0.91661809,13813.698,FALSE
210,40,5,4.5,3,0.958557411,20348.9253,FALSE
211,40,5,4.5,4,0.976397875,27238.8696,FALSE
212,40,5,4.5,5,0.984628545,34534.9788,FALSE
213,40,5,4.5,6,0.988980212,41925.1502,FALSE
214,40,5,4.5,7,0.991528445,49338.6376,FALSE
215,40,5,4.5,8,0.993155564,56741.1521,FALSE
