Index,NStage_T2,RR_T2,TopPres_T2,StoF_T2,DIST_C4H6_T2,RebDuty_T2,hasERROR_T2
241,8,1.2,3.5,2,0.99485713,11877.1205,FALSE
242,8,1.2,3.5,3,0.994638668,14349.4388,FALSE
243,8,1.2,3.5,4,0.993831656,14199.7696,FALSE
244,8,1.2,3.5,5,0.991874537,14388.7739,FALSE
245,8,1.2,3.5,6,0.98692903,14376.869,FALSE
246,8,1.2,3.5,7,0.659892435,-7925.56634,TRUE
247,8,1.2,3.5,8,0.95633069,14078.1011,FALSE
248,8,1.2,4,1,0.994934704,8372.69474,FALSE
249,8,1.2,4,2,0.994764481,12389.8676,FALSE
250,8,1.2,4,3,0.994429778,15117.2298,FALSE
251,8,1.2,4,4,0.993327011,15212.5959,FALSE
252,8,1.2,4,5,0.915652102,23509.2802,TRUE
253,8,1.2,4,6,0.986137227,15832.8573,FALSE
254,8,1.2,4,7,0.976907167,15951.9565,FALSE
255,8,1.2,4,8,0.961996314,16006.3846,FALSE
256,8,1.2,4.5,1,0.994901379,8603.99079,FALSE
257,8,1.2,4.5,2,0.994657808,12857.7276,FALSE
258,8,1.2,4.5,3,0.994205383,15813.8958,FALSE
259,8,1.2,4.5,4,0.994895129,26645.0983,TRUE
260,8,1.2,4.5,5,0.990281646,16758.9182,FALSE
261,8,1.2,4.5,6,0.985415435,17167.0562,FALSE
262,8,1.2,4.5,7,0.977175165,17492.9809,FALSE
263,8,1.2,4.5,8,0.964822546,17767.6427,FALSE
264,8,1.2,5,1,0.994857699,8820.35814,FALSE
265,8,1.2,5,2,0.994521874,13293.506,FALSE
266,8,1.2,5,3,0.986821816,-10763.4093,TRUE
267,8,1.2,5,4,0.992275076,16982.141,FALSE
268,8,1.2,5,5,0.989405328,17809.7062,FALSE
269,8,1.2,5,6,0.984406677,18410.3362,FALSE
270,8,1.2,5,7,0.976610547,18928.7275,FALSE
271,8,1.2,5,8,0.965693149,19403.981,FALSE
272,8,1.2,5.5,1,0.994801566,9024.64019,FALSE
273,8,1.2,5.5,2,0.994352721,13703.5449,FALSE
274,8,1.2,5.5,3,0.993593717,17069.3527,FALSE
275,8,1.2,5.5,4,0.991612471,17781.3453,FALSE
276,8,1.2,5.5,5,0.988392468,18794.0644,FALSE
277,8,1.2,5.5,6,0.983164769,19576.6749,FALSE
278,8,1.2,5.5,7,0.975530275,20276.501,FALSE
279,8,1.2,5.5,8,0.965408823,20936.7181,FALSE
280,8,1.2,6,1,0.994729191,9219.55723,FALSE
281,8,1.2,6,2,0.994667406,28659.8779,TRUE
282,8,1.2,6,3,0.993193776,17642.2999,FALSE
283,8,1.2,6,4,0.990851423,18533.945,FALSE
284,8,1.2,6,5,0.987251715,19722.2843,FALSE
285,8,1.2,6,6,0.981727706,20676.8689,FALSE
286,8,1.2,6,7,0.974069422,21548.651,FALSE
287,8,1.2,6,8,0.964375294,22383.5235,FALSE
288,8,1.4,3.5,1,0.994967911,8400.92111,FALSE
289,8,1.4,3.5,2,0.994882453,12151.744,FALSE
290,8,1.4,3.5,3,0.994707178,14620.561,FALSE
291,8,1.4,3.5,4,0.994105289,14464.742,FALSE
292,8,1.4,3.5,5,0.992749936,14649.1162,FALSE
293,8,1.4,3.5,6,0.98957032,14637.1994,FALSE
294,8,1.4,3.5,7,0.982673437,14563.2492,FALSE
295,8,1.4,3.5,8,0.969645379,14433.5112,FALSE
296,8,1.4,4,1,0.994945332,8647.70737,FALSE
297,8,1.4,4,2,0.994804427,12660.4315,FALSE
298,8,1.4,4,3,0.994532799,15385.8308,FALSE
299,8,1.4,4,4,0.993688626,15478.1577,FALSE
300,8,1.4,4,5,0.994654938,23799.6622,TRUE
301,8,1.4,4,6,0.98863579,16104.9736,FALSE
302,8,1.4,4,7,0.982388248,16242.9005,FALSE
303,8,1.4,4,8,0.972067366,16339.5883,FALSE
304,8,1.4,4.5,1,0.994917088,8874.70231,FALSE
305,8,1.4,4.5,2,0.994714019,13124.32,FALSE
306,8,1.4,4.5,3,0.994343617,16080.5138,FALSE
307,8,1.4,4.5,4,0.946572166,23978.6661,TRUE
308,8,1.4,4.5,5,0.991362409,17028.8787,FALSE
309,8,1.4,4.5,6,0.987841597,17443.4797,FALSE
310,8,1.4,4.5,7,0.981975462,17786.4486,FALSE
311,8,1.4,4.5,8,0.973112979,18091.2947,FALSE
312,8,1.4,5,1,0.994880027,9086.89261,FALSE
313,8,1.4,5,2,0.994598476,13557.7175,FALSE
314,8,1.4,5,3,0.990927339,-10291.9545,TRUE
315,8,1.4,5,4,0.992799772,17249.7936,FALSE
316,8,1.4,5,5,0.990594458,18081.7235,FALSE
317,8,1.4,5,6,0.9868529,18691.4864,FALSE
318,8,1.4,5,7,0.98108858,19225.5061,FALSE
319,8,1.4,5,8,0.972971396,19725.4378,FALSE
320,8,1.4,5.5,1,0.99483175,9287.56507,FALSE
321,8,1.4,5.5,2,0.994453603,13965.1172,FALSE
322,8,1.4,5.5,3,0.993822156,17333.315,FALSE
323,8,1.4,5.5,4,0.992233958,18049.3942,FALSE
324,8,1.4,5.5,5,0.989712378,19069.1269,FALSE
325,8,1.4,5.5,6,0.98569394,19862.0436,FALSE
326,8,1.4,5.5,7,0.979865152,20577.1952,FALSE
327,8,1.4,5.5,8,0.972087109,21259.2,FALSE
328,8,1.4,6,1,0.994769591,9478.99195,FALSE
329,8,1.4,6,2,0.994832376,26647.7118,TRUE
330,8,1.4,6,3,0.993477855,17905.6404,FALSE
331,8,1.4,6,4,0.991577835,18803.2491,FALSE
332,8,1.4,6,5,0.988710871,19999.9306,FALSE
333,8,1.4,6,6,0.984367797,20965.9961,FALSE
334,8,1.4,6,7,0.978373773,21853.0219,FALSE
335,8,1.4,6,8,0.970725344,22707.4417,FALSE
336,8,1.6,3.5,1,0.994972584,8681.28615,FALSE
337,8,1.6,3.5,2,0.99490042,12428.2943,FALSE
338,8,1.6,3.5,3,0.994755182,14893.7702,FALSE
339,8,1.6,3.5,4,0.994283624,14733.1798,FALSE
340,8,1.6,3.5,5,0.993276078,14914.913,FALSE
341,8,1.6,3.5,6,0.991048572,14900.1975,FALSE
342,8,1.6,3.5,7,0.665597339,4215.00823,TRUE
343,8,1.6,3.5,8,0.977654597,14738.0357,FALSE
344,8,1.6,4,1,0.99495316,8923.43983,FALSE
345,8,1.6,4,2,0.994833472,12932.2312,FALSE
346,8,1.6,4,3,0.994606549,15656.3704,FALSE
347,8,1.6,4,4,0.993933272,15748.165,FALSE
348,8,1.6,4,5,0.994887445,29251.2274,TRUE
349,8,1.6,4,6,0.990149398,16376.6183,FALSE
350,8,1.6,4,7,0.985662822,16524.3307,FALSE
351,8,1.6,4,8,0.978280883,16643.3914,FALSE
352,8,1.6,4.5,1,0.994928742,9146.21243,FALSE
353,8,1.6,4.5,2,0.994755257,13392.5422,FALSE
354,8,1.6,4.5,3,0.994443134,16348.1585,FALSE
355,8,1.6,4.5,4,0.965210362,-18210.0263,TRUE
356,8,1.6,4.5,5,0.99207418,17299.252,FALSE
357,8,1.6,4.5,6,0.989383128,17719.3854,FALSE
358,8,1.6,4.5,7,0.984994471,18072.1928,FALSE
359,8,1.6,4.5,8,0.978380299,18395.7508,FALSE
360,8,1.6,5,1,0.99489649,9354.53427,FALSE
361,8,1.6,5,2,0.994654652,13822.3344,FALSE
362,8,1.6,5,3,0.981708935,16527.6319,TRUE
363,8,1.6,5,4,0.993167771,17517.8903,FALSE
364,8,1.6,5,5,0.99140197,18354.5997,FALSE
365,8,1.6,5,6,0.988470726,18971.0142,FALSE
366,8,1.6,5,7,0.98401291,19515.5807,FALSE
367,8,1.6,5,8,0.977740611,20030.9099,FALSE
368,8,1.6,5.5,1,0.994854464,9551.41486,FALSE
369,8,1.6,5.5,2,0.994528279,14227.312,FALSE
370,8,1.6,5.5,3,0.994822638,15074.1804,TRUE
371,8,1.6,5.5,4,0.992675202,18317.7412,FALSE
372,8,1.6,5.5,5,0.990625836,19343.4649,FALSE
373,8,1.6,5.5,6,0.987410988,20144.2961,FALSE
374,8,1.6,5.5,7,0.982795203,20870.8366,FALSE
375,8,1.6,5.5,8,0.97663185,21567.8394,FALSE
376,8,1.6,6,1,0.9947999,9739.54791,FALSE
377,8,1.6,6,2,0.976704743,5546.56905,TRUE
378,8,1.6,6,3,0.993687781,18169.978,FALSE
379,8,1.6,6,4,0.992100868,19071.8671,FALSE
380,8,1.6,6,5,0.989739265,20275.8191,FALSE
381,8,1.6,6,6,0.986206253,21251.5264,FALSE
382,8,1.6,6,7,0.981360104,22150.2402,FALSE
383,8,1.6,6,8,0.975162702,23019.2176,FALSE
384,8,1.8,3.5,1,0.994976149,8962.05554,FALSE
385,8,1.8,3.5,2,0.994913843,12705.9538,FALSE
386,8,1.8,3.5,3,0.994790645,15168.2026,FALSE
387,8,1.8,3.5,4,0.994407498,15003.4565,FALSE
388,8,1.8,3.5,5,0.993621033,15183.0781,FALSE
389,8,1.8,3.5,6,0.991961971,15167.1793,FALSE
390,8,1.8,3.5,7,0.988664655,15103.0634,FALSE
391,8,1.8,3.5,8,0.645678203,-17933.5309,TRUE
392,8,1.8,4,1,0.994959146,9199.68652,FALSE
393,8,1.8,4,2,0.994855517,13205.0971,FALSE
394,8,1.8,4,3,0.994661302,15927.3492,FALSE
395,8,1.8,4,4,0.994106152,16016.9576,FALSE
396,8,1.8,4,5,0.989691469,-30911.5936,TRUE
397,8,1.8,4,6,0.99113944,16649.361,FALSE
398,8,1.8,4,7,0.987749897,16802.8379,FALSE
399,8,1.8,4,8,0.98225819,16934.7411,FALSE
400,8,1.8,4.5,1,0.994937661,9418.37255,FALSE
