hyper,ave_epoch,epoch,ave_indicator,indicator,ave_score,socre
"(1, 16, 'tanh')",412.0,"[435, 909, 364, 33, 319]",0.8906269988998401,"[0.9308403704038968, 0.9511369197877567, 0.939956669974516, 0.6791360954238699, 0.9520649389091614]",0.036560647,"[0.031988114, 0.02843559, 0.028818361, 0.06322404, 0.030337136]"
"(1, 17, 'elu')",400.8,"[389, 481, 195, 389, 550]",0.9502974581390831,"[0.9609646774764892, 0.9592235198869524, 0.9015192978659184, 0.9627366946724392, 0.9670431007936161]",0.026723254,"[0.024032071, 0.025976265, 0.03690732, 0.021545792, 0.025154814]"
"(1, 17, 'sigmoid')",852.0,"[1253, 1774, 517, 471, 245]",0.9603688818398333,"[0.9583715581366673, 0.9680829342915654, 0.9480631017953491, 0.9665732443604209, 0.9607535706151631]",0.024491714,"[0.024817461, 0.022981761, 0.026802476, 0.020406518, 0.027450358]"
"(1, 17, 'softplus')",535.4,"[765, 916, 212, 356, 428]",0.9608353404558487,"[0.9683787989397727, 0.9698401538883791, 0.9348750659660788, 0.9601848144540767, 0.9708978690309364]",0.023978462,"[0.021629749, 0.022340165, 0.03001308, 0.022271331, 0.023637978]"
"(1, 17, 'tanh')",411.4,"[431, 502, 513, 378, 233]",0.9589873006407471,"[0.9599350002226086, 0.9605056572439699, 0.9596804353708409, 0.9671850266916294, 0.9476303836746863]",0.025091048,"[0.024346968, 0.025564615, 0.023615375, 0.020218913, 0.031709373]"
"(1, 18, 'elu')",379.8,"[590, 484, 224, 380, 221]",0.9475310105541036,"[0.9717762679321292, 0.9538585886630802, 0.9056891673335631, 0.9560225570338082, 0.9503084718079369]",0.02769581,"[0.02043476, 0.027632313, 0.0361175, 0.023406517, 0.030887954]"
"(1, 18, 'sigmoid')",727.6,"[1471, 926, 373, 576, 292]",0.9618029603792069,"[0.9575367106518858, 0.9635989955340618, 0.9518788550080841, 0.9689887847744288, 0.9670114559275736]",0.024045903,"[0.025065081, 0.024543049, 0.02579912, 0.019655367, 0.025166888]"
"(1, 18, 'softplus')",400.4,"[799, 253, 308, 417, 225]",0.9561237521960966,"[0.9655563752088432, 0.9561233014118091, 0.9293746163310097, 0.9607313992331421, 0.9688330687956781]",0.025471006,"[0.022574427, 0.026945658, 0.031254843, 0.022117931, 0.024462169]"
"(1, 18, 'tanh')",417.8,"[71, 719, 249, 357, 693]",0.9212685909611957,"[0.7509845980135355, 0.9677514716097726, 0.9488738974357158, 0.9631794642506846, 0.9755535234962707]",0.030694732,"[0.060698144, 0.023100788, 0.026592445, 0.021417405, 0.021664869]"
"(1, 19, 'elu')",281.0,"[353, 300, 292, 255, 205]",0.9479676730940149,"[0.9542799511042119, 0.9527953298610623, 0.9408979169276498, 0.9495996185634297, 0.942265549013721]",0.028180098,"[0.026008518, 0.027948873, 0.028591592, 0.025057556, 0.03329396]"
"(1, 19, 'sigmoid')",399.8,"[80, 47, 711, 719, 442]",0.8878525432554945,"[0.8047289538432978, 0.7404692463729785, 0.9572156154752028, 0.9706964469661529, 0.9661524536198407]",0.03764195,"[0.05375034, 0.06553393, 0.024326496, 0.019106533, 0.025492448]"
"(1, 19, 'softplus')",437.0,"[1168, 326, 218, 260, 213]",0.9528087820126034,"[0.9689751252597486, 0.9582380903652479, 0.9178075857927603, 0.9531916936700336, 0.965831414975226]",0.026238313,"[0.021424826, 0.02628827, 0.0337173, 0.024148116, 0.025613058]"
"(1, 19, 'tanh')",347.8,"[325, 501, 279, 326, 308]",0.9470483458326633,"[0.917043793170903, 0.9633923358453262, 0.9294444771750084, 0.965639312960686, 0.9597218100113927]",0.027876845,"[0.03503376, 0.024612619, 0.031239381, 0.020689629, 0.027808843]"
"(1, 20, 'elu')",325.6,"[354, 312, 319, 411, 232]",0.9447384314947811,"[0.9502628360190815, 0.9495130702705259, 0.9161289924457271, 0.962918620719478, 0.9448686380190934]",0.028823802,"[0.027127065, 0.028904222, 0.03405986, 0.021493133, 0.032534733]"
"(1, 20, 'sigmoid')",115.8,"[52, 47, 28, 23, 429]",0.6887254575414468,"[0.7553595303924675, 0.7531054938285501, 0.5369380849979355, 0.44913495019340854, 0.9490892282948722]",0.06364347,"[0.060162578, 0.06391864, 0.08003067, 0.08284082, 0.031264596]"
"(1, 20, 'softplus')",278.4,"[41, 423, 399, 292, 237]",0.8367620864187343,"[0.3883677089861395, 0.9555796448919, 0.9241220554536359, 0.9517580523528969, 0.963982970409099]",0.0410896,"[0.095127806, 0.02711208, 0.032396246, 0.02451513, 0.026296739]"
