Index NStage_T1 RR_T1 TopPres_T1 StoF_T1 NStage_T2 RR_T2 TopPres_T2 DIST_C4H8_T1 DIST_C4H6_T1 RebDuty_T1 DIST_C4H6_T2 DIST_SOL_T2 RebDuty_T2 hasIssue hasERROR TimeCost 
12 80 6.1316113244205415 3.5000006780062605 2.5292833548943183 11 0.47156659176220384 3.5000295034010973 0.996127614 0.00387205004 17304.4884 0.995837264 0.999942499 11861.6015 True False 1.465101718902588 
13 80 5.606078704331096 3.5015140766871955 3.1267034760125236 11 0.5891091262616316 3.500184588676622 0.998644504 0.00135508153 19781.5734 0.998270838 0.999940165 12873.9887 True False 1.4676353931427002 
14 80 6.109726222411484 3.5002194233817026 2.4310172170923163 11 0.45356954226126045 3.502017380561352 0.995178714 0.00482095708 16818.1419 0.994902623 0.999943101 11628.4648 True False 1.422027826309204 
15 80 5.982415736872718 3.5000404716448963 2.3923683038864016 13 0.4688098455880693 3.5045584843442854 0.994591223 0.00540844639 16466.0736 0.992223 0.999999768 11237.501 True True 1.4238948822021484 
16 80 5.924344193143172 3.5001176402447816 2.4128905108561596 11 0.439272499648044 3.5001869809484196 0.994776279 0.00522338615 16478.8084 0.994480636 0.999938614 11571.5772 True False 1.4181268215179443 
17 80 5.868842110171357 3.5013284710221897 2.5328620988363078 10 0.4631784253448593 3.501310663296737 0.99595339 0.00404626115 16959.195 0.995644855 0.999938983 11848.7044 True False 1.4093739986419678 
18 80 5.785125684290273 3.500540841889761 2.990079743693042 11 0.5914473086654899 3.500207678429184 0.998332162 0.00166744589 19205.2648 0.998039496 0.99995098 12759.0824 True False 1.4077832698822021 
19 80 6.1539438945303155 3.500152146980629 2.498787819260608 10 0.46904857471603234 3.500409545243056 0.995880852 0.00411881473 17191.6455 0.995602725 0.999944242 11780.7637 True False 1.4332971572875977 
20 80 5.761138287215188 3.5003587026101983 3.0526128002500275 12 0.5888162065090912 3.500724990841153 0.998499634 0.00149996706 19538.4084 0.998378328 0.999980062 12762.1614 True False 1.4382500648498535 
21 80 5.658057908267746 3.5008825155146344 3.1366760355952343 11 0.6043560901096121 3.500185153860122 0.998678539 0.00132104918 19913.5326 0.998329306 0.999944252 12897.2049 True False 1.4389793872833252 
22 80 5.586854562565007 3.5062444611723853 2.990079743693042 11 0.5914634096322045 3.500207678429184 0.998272172 0.00172742297 18946.163 0.997978185 0.999950757 12743.8069 True False 1.439856767654419 
23 80 5.559447164457081 3.5023262440853458 3.243603417474609 10 0.6516329704010819 3.5014191124901797 0.998871819 0.00112775334 20507.3635 0.998491546 0.999941303 12951.9815 True False 1.431485652923584 
24 80 6.337526622006008 3.5002189623598623 2.3618277573695794 11 0.45530586569977344 3.500306193103279 0.994594843 0.00540484242 16821.2974 0.994354911 0.999949094 11464.8752 True False 1.4548463821411133 
25 80 5.828213847111855 3.5000232522607226 2.38701990310737 9 0.4626714353173242 3.5002464765336807 0.994314898 0.00568476463 16228.688 0.993489293 0.999826767 11628.9311 True False 1.4858500957489014 
26 80 5.853288453076708 3.502766164762342 2.39415758804004 11 0.4631784253448593 3.5012344027632962 0.99444348 0.00555618299 16298.8878 0.994201497 0.999949346 11547.9475 True False 1.477626085281372 
27 80 6.337526622006008 3.5002194233817026 2.426132807946105 12 0.45716968288330506 3.5033438372004286 0.995316765 0.00468291524 17111.3241 0.994733728 0.999879697 11901.7903 True True 1.5152199268341064 
28 80 5.636222114507423 3.5003588273642348 2.6616540427040514 10 0.5001557103848084 3.500074213774526 0.996762614 0.00323701454 17258.4966 0.996460747 0.999943193 12144.8875 True False 1.4748365879058838 
29 80 5.808773279642981 3.504738573313236 2.69288827682905 11 0.5296454715986205 3.5001999591425523 0.997074965 0.00292466874 17660.8542 0.996808328 0.999950399 12237.5338 True False 1.498974323272705 
30 80 6.1316113244205415 3.5007386682073296 2.497244246358271 10 0.4631784253448593 3.5000205380327314 0.995850243 0.00414942271 17154.3232 0.995561305 0.999942041 11770.545 True False 1.5001490116119385 
31 80 5.478245978111043 3.5000436495471443 2.8483704784895725 11 0.524183568822908 3.500738634022303 0.997697034 0.00230256896 17998.528 0.997336551 0.999936626 12508.1281 True False 1.4875226020812988 
32 80 5.853288453076708 3.501971437556589 2.471813904321084 12 0.4631784253448593 3.5032871827590926 0.995348901 0.00465075458 16652.5371 0.995257823 0.999981496 11674.9647 True False 1.525108814239502 
33 80 6.038175940251571 3.5000000693971636 2.7266794118993247 10 0.514928909199159 3.5019291548908593 0.997376034 0.00262360952 18140.5753 0.997067772 0.999943382 12281.9647 True False 1.5324676036834717 
34 80 6.401542743492817 3.500214760573296 2.4374641348758463 10 0.46790619161416835 3.500174872607975 0.995476663 0.00452301912 17251.6731 0.995225501 0.999948375 11641.3015 True False 1.4574897289276123 
35 80 6.2547107251655625 3.50023755399347 2.387523202624072 10 0.437656140762198 3.500590706471635 0.994825594 0.0051740869 16821.8412 0.994541809 0.999940451 11497.6423 True False 1.4599761962890625 
36 80 6.401542743492817 3.5000586562404807 2.2776214527247975 11 0.4672426772731833 3.5004620451698774 0.993515976 0.00648371933 16539.6885 0.993324844 0.999957929 11270.6861 True False 1.4429216384887695 
37 80 5.596414826359177 3.5002296282100005 3.2223159933575314 12 0.6150834795015577 3.500118276311662 0.998839878 0.00115969936 20406.7112 0.998680473 0.999975196 12864.0808 True False 1.4709117412567139 
38 80 5.726861208226567 3.5000242058926876 2.775118290554444 10 0.524183568822908 3.503225303516812 0.99748132 0.00251830401 17957.7127 0.997164844 0.999942887 12377.6914 True False 1.4735941886901855 
39 80 5.77952631273802 3.507212501776983 2.647779320870055 12 0.525107878957921 3.5002873746587997 0.996768 0.0032316353 17399.0883 0.996695631 0.999986259 12085.9201 True False 1.458716630935669 
40 80 5.601354150331263 3.504310984409425 3.1812086441782914 11 0.595835896787245 3.518015450828024 0.998759164 0.00124041528 20141.9241 0.99835418 0.999936267 12921.0775 True False 1.4682831764221191 
